x,y
nurse in charge at muchadziya clinic in show the hospital record that were damaged by the water that went into the clinic after damaging the roof,1
cyclone idai death toll to exceed zimbabwe military say of body of missing zimbabwean wash up in mozambique mass burial continue one woman saw burial in one day read watch haunting report,2
is the death toll in mozambique official if so it mean more people died in zimbabwe than at the heart of the cyclone right we need to up our game when it come to saving life,2
tropical cyclone idai battered mozambique coastal city of beira leaving it resident cut off friday after power cable were downed and communication severed following nationwide flooding that killed people,1
hundred have died and half million people are waiting for food and water in mozambique cyclone idai hit southern african country week ago but rescue effort are still ongoing and aid is desperately needed,2
caused huge rock slide that smashed through town and sent river of hot mud into home almost entire mountain slipped in chimanimani zimbabwe fc,1
we have engineer and we are planning to build all the damaged bridge,1
ha devastated community in and the death toll in mozambique alone could rise above staff is on the ground and working to ensure our response meet people need,2
let hope and pray that all the donation being made find their way to the victim not to end up being diverted by fatcats,4
killed beira city shut off a tropical cyclone slam mozambique tropical cyclone idai battered central mozambique on friday killing at least people and cutting off more than half million people in one of the country largest city beira,2
armchair critic from the leafy suburb of harare are now in the forefront of spreading heresy amp blatant lie to cause confusion amp despondency on the distribution of relief aid to the victim of challenge them to go to ngangu amp copa to assist,4
this is the buzi district in mozambique after thousand of people have had to cling to tree and climbed onto roof in an effort to try stay afloat hundred of people are feared dead,2
another school in beira completely destroyed by,1
the death toll from cyclone that smashed into mozambique and zimbabwe ha risen to more than courtesy,2
tropical cyclone ha left at least people dead in eastern the government said on saturday continuing trail of destruction across southeast,2
people have been killed people displaced cyclone idai ha affected over million people we are working with local partner in malawi amp zimbabwe to provide emergency assistance stand with u and donate,2
in mozambique ten of thousand of people are displaced and the number of cholera case is skyrocketing in the aftermath of cyclone idai,0
the government of ha officially confirmed cholera within camp for people displaced by daniel timme chief of communication tell u what unicef is doing to provide aid send help to child in need donate now at,0
desperation more than people are feared dead in mozambique after cyclone idai ravaged the nation leaving first responder in frantic search to reach survivor complete coverage on with reporting from the region,2
varakashi want u to believe the man is trying what like is tax being used here haisi yemachinja chete it for everyone in the country including you that man haana kana basa nemunhu,4
a you all might know the city of beira mozambique is hit hard by cyclone idai it is said the city ha been destroyed for percent the death toll is expected to rise dramatically,1
face and story from survivor cecilia stand in front of the rubble that once use to be the house she lived in in beira she now life with her neighbour who house wa not damaged too badly,1
one week later thousand of people remain missing across mozambique malawi and zimbabwe million of others across have been left destitute without food or basic service,3
rt mass graf for mozambique cyclone victim death toll at,2
the death toll from cyclone that smashed into mozambique and zimbabwe ha risen to more than a rescuer race against the clock to help survivor and the un led the charge to provide aid,2
cyclone idai ha killed at least people and displaced ten of thousand more in one of the worst weather disaster ever to hit southern africa we go to mozambique where entire town lie in ruin on at 30pm edt on,2
at least people have been killed and dozen are missing in some part of eastern zimbabwe including chimanimani and chipinge after the country wa hit by tropical cyclone idai which pounded from neighbouring mozambique and malawi,2
mozambique cyclone idai death toll could exceed say president,2
this is heartbreaking the death toll in zimbabwe stand at behind those number are real people bread winner child mother father brother sister and importantly fellow citizen we stand in solidarity with the bereaving family,2
rt on and some insight the damage it caused in and,1
while mnangagwa is eating prawn and drinking cognac in abu dhabi ha devastated and destroyed livelihood in chimanimani come back home mnangagwa,1
the mdc ha issued statement expressing it condolence over the score of people killed by natural hazard induced by tropical so far people have been confirmed dead from drowning and falling boulder caused by the cyclone,2
hundred are dead many more are missing and thousand are now at risk from massive in mozambique zimbabwe and malawi caused by cyclone idai and persistent rain,3
wa horrific and devastating it ha destroyed several building church and home in beira these image were shared by one of our jesuit in beira bendito ngozo,1
rt aerial footage aftermath of deadly cyclone that left more than dead in,2
my daughter wa washed away from me survivor speak about devastating flood caused by cyclone idai in mozambique at least people may have been killed president filipe nyusi say tap to expand,2
with all due respect sir and for the sake of the victim it better to just keep quite do you honestly think they ll let you see it,4
in beira mozambique ha destroyed up to of all building and infrastructure have been destroyed and hundred are feared to have died find out how you can help support the humanitarian relief effort,1
cyclone idai killed in mozambique missing in zimbabwe,2
death toll ha risen to the our heart are with the departed soul,2
comrade from movement went to ass the devastating situation in chimanimani after we call on citizen to keep up the inspirational spirit of solidarity and food aid distribution must remain neutral together we are stronger tiri tose,1
fellow african malawi mozambique zimbabwe have been struck by the deadly the flooding ha killed people in southern africa death toll expected to rise sharply all country are not coping any help will be appreciated,2
rt breaking death toll for cyclone idai may reach according to mozambique president,2
cyclone idai may have killed more than people in mozambique president filipe nyusi said in an address on national radio on monday,2
civic society leader under the banner of civic society and church joint forum are presenting their report after conducting in chimanimani to verify the allegation of unfair distribution of aid watch on our page,4
south africa state power utility eskom will get an additional megawatt of power from mozambique after power line damaged by cyclone idai were restored president cyril ramaphosa said on friday,1
school infrastructure ha been affected by in masvingo province the following school were affected bikita vushe primary tafara high chikukutu primary fambidzanai sec jaravaza gutu cheninga primary zaka majuru primary st joseph high mutsambiwa primary amp sec,1
with the flood water subsiding the impact of is now evident this is part of the road to district that wa cut off and why agency were unable to immediately access affected community to provide life saving need,1
our hearts9go out to all those who have been affected by including loss of life destruction of property amp displacement of people due to flooding and landslide is supporting ongoing assessment effort with and stand with the people of,0
a child is transported on fridge during flood after cyclone idai in buzi mozambique more image of the devastation,0
this video show the victim who were buried in pair per grave it also show the magnitude of the damage caused and how the victim are now battling to forge ahead in the aftermath of heart breaking scene,1
rt unless you see it first hand you cant even begin to fathom the damage in mozambique,1
the un say cyclone idai destroyed at least u 1bn worth of infrastructure in mozambique zim and malawi un economic commission for africa executive secretary vera songwe said the beira port key to zimbabwe trade is essentially today almost thing of the past,1
varakashis are blaming sanction for the regime failure to respond quickly amp effectively to the disaster but these imbecile cant explain how these sanction couldnt cripple the regime capacity to wage brutal war on it own citizen in january,4
house in chimanimani and house in chipinge were destroyed close to people lost their life and more than are reported missing whilst people are marooned in chimanimani there are displaced people and in chipinge,1
hit zimbabwe at least confirmed dead and many displaced,2
this is the largest emergency operation have been on personally say of more than one thousand people are feared dead in mozambique after cyclone idai and ten of thousand are also affected in zimbabwe and malawi,2
the first thing you see when you arrive inside the city of beira is destruction and lot of water biggest challenge right now getting to people in need because so many of the road health centre are damaged or destroyed,1
home were destroyed by our first cargo for today are tent which will provide shelter for the affected people our regional director and country director will be assessing the affected area to help u come up with long term recovery plan,1
a cyclone that slammed into mozambique last week ha damaged or destroyed percent of the city of the red cross say a the death toll in the country and neighbouring zimbabwe rose to,1
rt is hitting those who did not cause it the hardest flood washed away crop in,1
is lost when he blame gvt over death a reported in the of today this wa mother nature full stop,2
kill in chimanimani,2
